# H4RG QE from Zandian et al. 2016, Fig. 5
# Plot digitized by Aiden Zelakiewicz
# Wavelength (nm), QE (%)
796, 74.09482758620689
804, 75.25862068965517
812, 76.0344827586207
828, 74.48275862068965
844, 76.0344827586207
860, 75.25862068965517
868, 76.42241379310343
892, 77.58620689655172
908, 79.13793103448276
916, 79.91379310344828
932, 79.91379310344828
932, 81.07758620689654
948, 81.85344827586206
972, 82.24137931034483
972, 83.40517241379311
988, 83.79310344827587
996, 84.56896551724137
1012, 84.1810344827586
1028, 84.95689655172413
1044, 85.73275862068965
1068, 85.73275862068965
1076, 86.12068965517241
1092, 86.12068965517241
1108, 86.50862068965517
1116, 86.12068965517241
1140, 87.2844827586207
1156, 86.89655172413791
1180, 87.67241379310343
1212, 87.67241379310343
1244, 87.67241379310343
1268, 88.44827586206895
1284, 89.22413793103448
1308, 89.61206896551724
1324, 90.38793103448276
1348, 91.16379310344828
1364, 91.16379310344828
1380, 91.93965517241381
1396, 91.55172413793102
1404.0000000000002, 92.71551724137933
1412, 91.93965517241381
1428, 92.32758620689654
1452, 93.10344827586206
1468, 92.71551724137933
1492, 93.10344827586206
1524, 93.49137931034483
1572, 93.49137931034483
1596, 93.10344827586206
1620, 93.10344827586206
1644, 93.10344827586206
1676, 92.71551724137933
1700, 92.71551724137933
1724, 92.71551724137933
1732, 91.93965517241381
1756, 91.93965517241381
1796, 91.93965517241381
1804, 92.32758620689654
1820, 91.93965517241381
1836, 92.71551724137933
1852, 91.93965517241381
1868, 92.32758620689654
1900, 92.32758620689654
1915.9999999999998, 92.71551724137933
1940, 91.93965517241381
1964, 91.93965517241381
2004, 92.32758620689654
2020, 93.10344827586206
2044, 93.10344827586206
2068, 92.71551724137933
2084, 92.32758620689654
2100, 93.10344827586206
2116, 93.87931034482759
2140, 93.87931034482759
2164, 93.87931034482759
2188, 93.87931034482759
2220, 93.49137931034483
2244, 93.10344827586206
2276, 92.71551724137933
2308, 91.93965517241381
2332, 91.16379310344828
2356, 90.38793103448276
2364, 89.61206896551724
2380, 90
2388, 88.44827586206895
2403.9999999999995, 87.67241379310343
2412, 86.12068965517241
2420, 83.40517241379311
2428, 80.30172413793102
2436, 71.76724137931035
2444, 57.80172413793102
2452, 46.163793103448285
2452, 37.241379310344826
2460, 24.051724137931046
2468, 13.577586206896598
2476, 9.31034482758622
2484, 6.2068965517241566
2492, 4.655172413793139
2500, 3.4913793103448256
2508, 2.327586206896598
2516, 1.5517241379310462
2524, 0.7758620689655515
2532, 0
2556, 0
2588, 0
